anyo,fecha_exportacion,evaluacion,alumno,ensenanza,curso,contenido,bloque_contenido,nota_numerica,tipo_nota,observacion,capacidades_inf,medidas_inf,borrar,sobreescribir
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028502, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028100, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028501, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028503, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028001, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028505, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,32bd782dfe34879f37011ccf6bcea8b4dc19b67126f6ff88bbf823b7db1ecb34,5,2712312846,028504, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028502, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028100, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028501, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028503, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028001, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028505, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,05323879f7102b465729df8208454b23456914cad82bf7df854a83216738e3ed,5,2712312846,028504, ,0,146988218, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028502, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028100, ,6,146988243, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028501, ,2,146988240, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028503, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028505, ,4,146988242, , , ,N,N
2021,19/10/2023 16:17:54,01,f9a1ecddbe0fdfedee117ece74217bcf7b9425d299cfb50941bb2984cd2190f1,5,2712312846,028504, ,3,146988241, , , ,N,N
2021,19/10/2023 16:17:54,01,bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72,5,2712312846,028502, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72,5,2712312846,028100, ,7,360492991, , , ,N,N
2021,19/10/2023 16:17:54,01,bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72,5,2712312846,028501, ,8,146988244, , , ,N,N
2021,19/10/2023 16:17:54,01,bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72,5,2712312846,028503, ,9,146988217, , , ,N,N
2021,19/10/2023 16:17:54,01,bf45b34d01246863b3eb5ce24b4182fc6634555fe5b5b9f8b7d425309b9a7a72,5,2712312846,028505, ,9,146988217, , , ,N,N
