anyo,fecha_exportacion,codigo,nombre,ensenanza,linea,turno,modalidad,aula,capacidad,oficial
2021,19/10/2023 16:20:24,1CESIAB,1º CURSO ESPECIALIZACION IABIG,5,24,D,COM, ,20,S
2021,19/10/2023 16:20:24,1CFSB,1º CFGS MARQUETING PUBLICITAT,5,24,D,COM, ,45,S
2021,19/10/2023 16:20:24,1CESCIB,1º CURSO ESPECIALIZACION CIBER,5,24,D,COM,2A3,20,S
2021,19/10/2023 16:20:24,2CFSK,2º CFGS LDCB_B,5,24,D,COM, ,33,S
2021,19/10/2023 16:20:24,2CFSA,2º CFGS AF,5,24,D,COM,1A3,34,S
2021,19/10/2023 16:20:24,1CFMA,1º CFGM GA,5,24,D,COM,1A4,36,S
2021,19/10/2023 16:20:24,2CFSB,2º CFGS GVEC,5,24,D,COM,2B2,30,S
2021,19/10/2023 16:20:24,2CFMA,2º CFGM GA,5,24,D,COM,1A6,30,S
2021,19/10/2023 16:20:24,1CFMB,1º CFGM AC,5,24,D,COM,2B2,32,S
2021,19/10/2023 16:20:24,2CFMB,2º CFGM ACT.COM,5,24,D,COM,2B3,36,S
2021,19/10/2023 16:20:24,1CFMC,1º CFGM S.M.X.,5,24,D,COM,2A6,26,S
2021,19/10/2023 16:20:24,1CFSC,1º CFGS ASIR,5,24,D,COM,2A3,24,S
2021,19/10/2023 16:20:24,1CFSD,1º CFGS AVGE,5,24,D,COM,2B5,30,S
2021,19/10/2023 16:20:24,1CFSE,1º CFGS GIAT,5,24,D,COM,2B1,30,S
2021,19/10/2023 16:20:24,1CFME,1º CFGM CAE_A,5,24,D,COM,1B2,30,S
2021,19/10/2023 16:20:24,2CFMC,2º CFGM S.M.R A,5,24,D,COM,2A2,24,S
2021,19/10/2023 16:20:24,1CFSF,1º CFGS LDCB_A,5,24,D,COM,1B4,32,S
2021,19/10/2023 16:20:24,2CFSE,2º CFGS GIAT,5,24,D,COM,2B4,35,S
2021,19/10/2023 16:20:24,2CFSC,2º CFGS ASIR,5,24,D,COM,2A4,26,S
2021,19/10/2023 16:20:24,2CFSD,2º CFGS AVGE,5,24,D,COM,2B5,31,S
2021,19/10/2023 16:20:24,1CFSG,1º CFGS OPTICA ,5,24,D,COM, ,30,S
2021,19/10/2023 16:20:24,1CFSA,1º CFGS AF,5,24,D,COM,1A5,31,S
2021,19/10/2023 16:20:24,1CFSJ,1º CFGS GAT,5,24,D,COM,2B1,30,S
2021,19/10/2023 16:20:24,2CFME,2º CFGM CAE_A,5,24,D,COM,1B2,30,S
2021,19/10/2023 16:20:24,2CFSF,2º CFGS LDCB_A,5,24,D,COM,1B3,30,S
2021,19/10/2023 16:20:24,2CFMD,2º CFGM S.M.R.B,5,24,D,COM,2A2,24,S
2021,19/10/2023 16:20:24,1CFMF,1º CFGM CAE_B,5,24,D,COM,1B2,32,S
2021,19/10/2023 16:20:24,2CFSG,2º CFGS OPTICA ,5,24,D,COM, ,30,S
2021,19/10/2023 16:20:24,2CFSH,2º CFGS DAW,5,24,D,COM,2A5,24,S
2021,19/10/2023 16:20:24,2CFSI,2º CFGS CI,5,24,D,COM,1A3,30,S
2021,19/10/2023 16:20:24,2CFSJ,2º CFGS GAT,5,24,D,COM,2B4,30,S
2021,19/10/2023 16:20:24,2CFMF,2º CFGM CAE_B,5,24,D,COM, ,30,S
2021,19/10/2023 16:20:24,1CFSI,1º CFGS CI,5,24,D,COM,1A6,30,S
2021,19/10/2023 16:20:24,1CFSH,1º CFGS DAW,5,24,D,COM,2A101,25,S
2021,19/10/2023 16:20:24,1CFSK,1º CFGS LDCB_B,5,24,D,COM,1B4,34,S
2021,19/10/2023 16:20:24,2CFMK,2º CFGM CAE SEMI,5,24,D,COM,1B2,30,S
2021,19/10/2023 16:20:24,2CFSL,2º CFGS AF SEMI,5,24,S,COM, ,50,S
2021,19/10/2023 16:20:24,2CFSM,2º CFGS GAT SEMI,5,24,S,COM, ,36,S
2021,19/10/2023 16:20:24,1CFMD,1º CFGM SMX SEMI,5,24,S,COM, ,45,S
2021,19/10/2023 16:20:24,1CFSM,1 CFGS AF SEMI,5,24,S,COM, ,60,S
2021,19/10/2023 16:20:24,1CFSN,1 CFGS GAT SEMI,5,24,S,COM, ,36,S
2021,19/10/2023 16:20:24,1CFMG,1º CFGM GA SEMI,5,24,S,COM, ,60,S
2021,19/10/2023 16:20:24,2CFMG,2º CFGM GA SEMI,5,24,S,COM, ,60,S
2021,19/10/2023 16:20:24,1CFSL,1º CFGS DAW. SEMIP,5,24,S,COM, ,65,S
2021,19/10/2023 16:20:24,2CFSN,2º CFGS DAM SEMI,5,24,S,COM, ,60,S
2021,19/10/2023 16:20:24,1CFMI,1º CFGM CAE SEMI,5,24,S,COM, ,62,S
